
        X res  30, Y res  40

                  Eye

             x     y     z 

           0.50  0.50 -1.00

                 Rays

   x   y     x     y     z    mag

   0   0  -0.41 -0.41  0.82  1.00
   0   1  -0.41 -0.39  0.83  1.00
   0   2  -0.42 -0.36  0.83  1.00
   0   3  -0.42 -0.34  0.84  1.00
   0   4  -0.42 -0.31  0.85  1.00
   0   5  -0.43 -0.29  0.86  1.00
   0   6  -0.43 -0.26  0.86  1.00
   0   7  -0.44 -0.23  0.87  1.00
   0   8  -0.44 -0.20  0.88  1.00
   0   9  -0.44 -0.18  0.88  1.00
   0  10  -0.44 -0.15  0.88  1.00
   0  11  -0.44 -0.12  0.89  1.00
   0  12  -0.45 -0.09  0.89  1.00
   0  13  -0.45 -0.06  0.89  1.00
   0  14  -0.45 -0.03  0.89  1.00
   0  15  -0.45  0.00  0.89  1.00
   0  16  -0.45  0.03  0.89  1.00
   0  17  -0.45  0.06  0.89  1.00
   0  18  -0.45  0.09  0.89  1.00
   0  19  -0.44  0.12  0.89  1.00
   0  20  -0.44  0.15  0.88  1.00
   0  21  -0.44  0.18  0.88  1.00
   0  22  -0.44  0.20  0.88  1.00
   0  23  -0.44  0.23  0.87  1.00
   0  24  -0.43  0.26  0.86  1.00
   0  25  -0.43  0.29  0.86  1.00
   0  26  -0.42  0.31  0.85  1.00
   0  27  -0.42  0.34  0.84  1.00
   0  28  -0.42  0.36  0.83  1.00
   0  29  -0.41  0.39  0.83  1.00
   0  30  -0.41  0.41  0.82  1.00
   0  31  -0.40  0.43  0.81  1.00
   0  32  -0.40  0.45  0.80  1.00
   0  33  -0.39  0.47  0.79  1.00
   0  34  -0.39  0.49  0.78  1.00
   0  35  -0.38  0.51  0.77  1.00
   0  36  -0.38  0.53  0.76  1.00
   0  37  -0.37  0.55  0.75  1.00
   0  38  -0.37  0.57  0.74  1.00
   0  39  -0.36  0.58  0.73  1.00

   1   0  -0.39 -0.41  0.83  1.00
   1   1  -0.39 -0.39  0.83  1.00
   1   2  -0.39 -0.37  0.84  1.00
   1   3  -0.40 -0.34  0.85  1.00
   1   4  -0.40 -0.32  0.86  1.00
   1   5  -0.40 -0.29  0.87  1.00
   1   6  -0.41 -0.26  0.87  1.00
   1   7  -0.41 -0.23  0.88  1.00
   1   8  -0.41 -0.21  0.89  1.00
   1   9  -0.42 -0.18  0.89  1.00
   1  10  -0.42 -0.15  0.90  1.00
   1  11  -0.42 -0.12  0.90  1.00
   1  12  -0.42 -0.09  0.90  1.00
   1  13  -0.42 -0.06  0.90  1.00
   1  14  -0.42 -0.03  0.91  1.00
   1  15  -0.42  0.00  0.91  1.00
   1  16  -0.42  0.03  0.91  1.00
   1  17  -0.42  0.06  0.90  1.00
   1  18  -0.42  0.09  0.90  1.00
   1  19  -0.42  0.12  0.90  1.00
   1  20  -0.42  0.15  0.90  1.00
   1  21  -0.42  0.18  0.89  1.00
   1  22  -0.41  0.21  0.89  1.00
   1  23  -0.41  0.23  0.88  1.00
   1  24  -0.41  0.26  0.87  1.00
   1  25  -0.40  0.29  0.87  1.00
   1  26  -0.40  0.32  0.86  1.00
   1  27  -0.40  0.34  0.85  1.00
   1  28  -0.39  0.37  0.84  1.00
   1  29  -0.39  0.39  0.83  1.00
   1  30  -0.39  0.41  0.83  1.00
   1  31  -0.38  0.44  0.82  1.00
   1  32  -0.38  0.46  0.81  1.00
   1  33  -0.37  0.48  0.80  1.00
   1  34  -0.37  0.50  0.79  1.00
   1  35  -0.36  0.52  0.78  1.00
   1  36  -0.36  0.54  0.77  1.00
   1  37  -0.35  0.55  0.75  1.00
   1  38  -0.35  0.57  0.74  1.00
   1  39  -0.34  0.59  0.73  1.00

   2   0  -0.36 -0.42  0.83  1.00
   2   1  -0.37 -0.39  0.84  1.00
   2   2  -0.37 -0.37  0.85  1.00
   2   3  -0.37 -0.34  0.86  1.00
   2   4  -0.38 -0.32  0.87  1.00
   2   5  -0.38 -0.29  0.88  1.00
   2   6  -0.38 -0.27  0.88  1.00
   2   7  -0.39 -0.24  0.89  1.00
   2   8  -0.39 -0.21  0.90  1.00
   2   9  -0.39 -0.18  0.90  1.00
   2  10  -0.39 -0.15  0.91  1.00
   2  11  -0.39 -0.12  0.91  1.00
   2  12  -0.40 -0.09  0.91  1.00
   2  13  -0.40 -0.06  0.92  1.00
   2  14  -0.40 -0.03  0.92  1.00
   2  15  -0.40  0.00  0.92  1.00
   2  16  -0.40  0.03  0.92  1.00
   2  17  -0.40  0.06  0.92  1.00
   2  18  -0.40  0.09  0.91  1.00
   2  19  -0.39  0.12  0.91  1.00
   2  20  -0.39  0.15  0.91  1.00
   2  21  -0.39  0.18  0.90  1.00
   2  22  -0.39  0.21  0.90  1.00
   2  23  -0.39  0.24  0.89  1.00
   2  24  -0.38  0.27  0.88  1.00
   2  25  -0.38  0.29  0.88  1.00
   2  26  -0.38  0.32  0.87  1.00
   2  27  -0.37  0.34  0.86  1.00
   2  28  -0.37  0.37  0.85  1.00
   2  29  -0.37  0.39  0.84  1.00
   2  30  -0.36  0.42  0.83  1.00
   2  31  -0.36  0.44  0.82  1.00
   2  32  -0.35  0.46  0.81  1.00
   2  33  -0.35  0.48  0.80  1.00
   2  34  -0.34  0.50  0.79  1.00
   2  35  -0.34  0.52  0.78  1.00
   2  36  -0.33  0.54  0.77  1.00
   2  37  -0.33  0.56  0.76  1.00
   2  38  -0.33  0.58  0.75  1.00
   2  39  -0.32  0.59  0.74  1.00

   3   0  -0.34 -0.42  0.84  1.00
   3   1  -0.34 -0.40  0.85  1.00
   3   2  -0.34 -0.37  0.86  1.00
   3   3  -0.35 -0.35  0.87  1.00
   3   4  -0.35 -0.32  0.88  1.00
   3   5  -0.35 -0.30  0.89  1.00
   3   6  -0.36 -0.27  0.89  1.00
   3   7  -0.36 -0.24  0.90  1.00
   3   8  -0.36 -0.21  0.91  1.00
   3   9  -0.37 -0.18  0.91  1.00
   3  10  -0.37 -0.15  0.92  1.00
   3  11  -0.37 -0.12  0.92  1.00
   3  12  -0.37 -0.09  0.92  1.00
   3  13  -0.37 -0.06  0.93  1.00
   3  14  -0.37 -0.03  0.93  1.00
   3  15  -0.37  0.00  0.93  1.00
   3  16  -0.37  0.03  0.93  1.00
   3  17  -0.37  0.06  0.93  1.00
   3  18  -0.37  0.09  0.92  1.00
   3  19  -0.37  0.12  0.92  1.00
   3  20  -0.37  0.15  0.92  1.00
   3  21  -0.37  0.18  0.91  1.00
   3  22  -0.36  0.21  0.91  1.00
   3  23  -0.36  0.24  0.90  1.00
   3  24  -0.36  0.27  0.89  1.00
   3  25  -0.35  0.30  0.89  1.00
   3  26  -0.35  0.32  0.88  1.00
   3  27  -0.35  0.35  0.87  1.00
   3  28  -0.34  0.37  0.86  1.00
   3  29  -0.34  0.40  0.85  1.00
   3  30  -0.34  0.42  0.84  1.00
   3  31  -0.33  0.44  0.83  1.00
   3  32  -0.33  0.47  0.82  1.00
   3  33  -0.32  0.49  0.81  1.00
   3  34  -0.32  0.51  0.80  1.00
   3  35  -0.32  0.53  0.79  1.00
   3  36  -0.31  0.54  0.78  1.00
   3  37  -0.31  0.56  0.77  1.00
   3  38  -0.30  0.58  0.76  1.00
   3  39  -0.30  0.60  0.75  1.00

   4   0  -0.31 -0.42  0.85  1.00
